Source,Target,Type
n415,n418,Directed
n415,n435,Directed
n415,n425,Directed
n415,n446,Directed
n415,n416,Directed
n415,n454,Directed
n415,n456,Directed
n415,n442,Directed
n415,n426,Directed
n415,n419,Directed
n415,n443,Directed
n415,n65,Directed
n415,n422,Directed
n415,n438,Directed
n415,n440,Directed
n415,n461,Directed
n415,n462,Directed
n415,n459,Directed
n415,n427,Directed
n415,n430,Directed
n415,n433,Directed
n415,n423,Directed
n415,n429,Directed
n415,n451,Directed
n415,n420,Directed
n415,n444,Directed
n415,n453,Directed
n415,n457,Directed
n415,n441,Directed
n464,n465,Directed
n464,n473,Directed
n464,n468,Directed
n464,n476,Directed
n464,n125,Directed
n464,n477,Directed
n464,n469,Directed
n464,n467,Directed
n464,n470,Directed
n464,n471,Directed
n464,n475,Directed
n464,n474,Directed
n464,n472,Directed
n464,n466,Directed
n478,n514,Directed
n478,n484,Directed
n478,n507,Directed
n478,n518,Directed
n478,n520,Directed
n478,n483,Directed
n478,n498,Directed
n478,n523,Directed
n478,n521,Directed
n478,n506,Directed
n478,n512,Directed
n478,n448,Directed
n478,n525,Directed
n478,n502,Directed
n478,n489,Directed
n478,n516,Directed
n478,n482,Directed
n478,n487,Directed
n478,n517,Directed
n478,n485,Directed
n478,n491,Directed
n478,n493,Directed
n478,n497,Directed
n478,n508,Directed
n478,n522,Directed
n478,n479,Directed
n478,n499,Directed
n478,n503,Directed
n478,n509,Directed
n478,n505,Directed
n478,n490,Directed
n478,n501,Directed
n478,n486,Directed
n478,n513,Directed
n478,n481,Directed
n478,n480,Directed
n478,n524,Directed
n478,n492,Directed
n478,n519,Directed
n478,n511,Directed
n478,n510,Directed
n478,n515,Directed
n478,n176,Directed
n478,n494,Directed
n478,n495,Directed
n478,n504,Directed
n478,n496,Directed
n478,n500,Directed
n478,n488,Directed
n526,n550,Directed
n526,n555,Directed
n526,n552,Directed
n526,n558,Directed
n526,n544,Directed
n526,n565,Directed
n526,n556,Directed
n526,n574,Directed
n526,n535,Directed
n526,n557,Directed
n526,n594,Directed
n526,n564,Directed
n526,n595,Directed
n526,n4242,Directed
n526,n596,Directed
n526,n603,Directed
n526,n589,Directed
n526,n598,Directed
n526,n588,Directed
n526,n533,Directed
n526,n532,Directed
n526,n540,Directed
n526,n546,Directed
n526,n530,Directed
n526,n580,Directed
n526,n569,Directed
n526,n604,Directed
n526,n566,Directed
n526,n601,Directed
n526,n575,Directed
n526,n168,Directed
n526,n568,Directed
n526,n586,Directed
n526,n571,Directed
n526,n560,Directed
n526,n549,Directed
n526,n529,Directed
n526,n577,Directed
n526,n602,Directed
n526,n559,Directed
n526,n563,Directed
n526,n578,Directed
n526,n542,Directed
n526,n471,Directed
n526,n573,Directed
n526,n593,Directed
n526,n536,Directed
n526,n541,Directed
n526,n581,Directed
n526,n592,Directed
n526,n570,Directed
n526,n548,Directed
n526,n584,Directed
n526,n597,Directed
n526,n543,Directed
n526,n579,Directed
n526,n426,Directed
n526,n583,Directed
n526,n576,Directed
n526,n585,Directed
n526,n572,Directed
n526,n599,Directed
n526,n605,Directed
n526,n534,Directed
n526,n551,Directed
n526,n562,Directed
n526,n582,Directed
n526,n545,Directed
n526,n547,Directed
n526,n553,Directed
n526,n537,Directed
n526,n587,Directed
n526,n528,Directed
n526,n561,Directed
n526,n531,Directed
n526,n538,Directed
n526,n591,Directed
n526,n539,Directed
n526,n590,Directed
n526,n567,Directed
n526,n554,Directed
n526,n527,Directed
n526,n600,Directed
n606,n648,Directed
n606,n659,Directed
n606,n632,Directed
n606,n644,Directed
n606,n621,Directed
n606,n663,Directed
n606,n641,Directed
n606,n639,Directed
n606,n623,Directed
n606,n629,Directed
n606,n638,Directed
n606,n651,Directed
n606,n626,Directed
n606,n606,Directed
n606,n655,Directed
n606,n665,Directed
n606,n609,Directed
n606,n646,Directed
n606,n618,Directed
n606,n642,Directed
n606,n179,Directed
n606,n637,Directed
n606,n633,Directed
n606,n643,Directed
n606,n661,Directed
n606,n652,Directed
n606,n634,Directed
n606,n647,Directed
n606,n645,Directed
n606,n654,Directed
n606,n657,Directed
n606,n613,Directed
n606,n628,Directed
n606,n630,Directed
n606,n656,Directed
n606,n616,Directed
n606,n614,Directed
n606,n664,Directed
n606,n622,Directed
n606,n615,Directed
n606,n653,Directed
n606,n650,Directed
n606,n625,Directed
n606,n617,Directed
n606,n620,Directed
n606,n662,Directed
n606,n619,Directed
n606,n627,Directed
n606,n631,Directed
n606,n636,Directed
n606,n611,Directed
n606,n666,Directed
n606,n608,Directed
n606,n635,Directed
n606,n649,Directed
n606,n658,Directed
n606,n610,Directed
n606,n612,Directed
n606,n607,Directed
n606,n660,Directed
n606,n624,Directed
n606,n640,Directed
n606,n667,Directed
n668,n720,Directed
n668,n691,Directed
n668,n715,Directed
n668,n670,Directed
n668,n4242,Directed
n668,n166,Directed
n668,n713,Directed
n668,n686,Directed
n668,n673,Directed
n668,n697,Directed
n668,n722,Directed
n668,n681,Directed
n668,n727,Directed
n668,n699,Directed
n668,n705,Directed
n668,n672,Directed
n668,n671,Directed
n668,n708,Directed
n668,n718,Directed
n668,n685,Directed
n668,n675,Directed
n668,n687,Directed
n668,n726,Directed
n668,n714,Directed
n668,n702,Directed
n668,n703,Directed
n668,n674,Directed
n668,n707,Directed
n668,n692,Directed
n668,n700,Directed
n668,n693,Directed
n668,n684,Directed
n668,n725,Directed
n668,n698,Directed
n668,n696,Directed
n668,n683,Directed
n668,n678,Directed
n668,n125,Directed
n668,n706,Directed
n668,n677,Directed
n668,n572,Directed
n668,n46,Directed
n668,n688,Directed
n668,n710,Directed
n668,n711,Directed
n668,n717,Directed
n668,n370,Directed
n668,n704,Directed
n668,n689,Directed
n668,n712,Directed
n668,n680,Directed
n668,n695,Directed
n668,n723,Directed
n668,n676,Directed
n668,n724,Directed
n668,n679,Directed
n668,n701,Directed
n668,n709,Directed
n668,n716,Directed
n668,n669,Directed
n668,n176,Directed
n668,n721,Directed
n668,n384,Directed
n668,n719,Directed
n668,n690,Directed
n668,n245,Directed
n668,n682,Directed
n668,n694,Directed
n728,n759,Directed
n728,n741,Directed
n728,n781,Directed
n728,n733,Directed
n728,n747,Directed
n728,n786,Directed
n728,n780,Directed
n728,n797,Directed
n728,n761,Directed
n728,n811,Directed
n728,n803,Directed
n728,n806,Directed
n728,n750,Directed
n728,n727,Directed
n728,n815,Directed
n728,n757,Directed
n728,n807,Directed
n728,n737,Directed
n728,n751,Directed
n728,n447,Directed
n728,n51,Directed
